accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,cancellation_policy,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed
3,1.0,1.0,49.0,0.0,0.0,22.0,2,4.0493476891255815,20.0,t,Private room,Real Bed,4,f,f,flexible,False,False,True,True,False
2,1.0,1.0,27.0,0.0,0.0,0.0,1,6.245758484024012,30.0,t,Entire home/apt,Real Bed,5,f,f,flexible,True,False,False,True,False
2,1.0,1.0,38.0,20.0,100.0,0.0,1,6.908412853768665,20.0,t,Private room,Real Bed,1,f,f,moderate,True,False,False,True,False
4,1.0,2.0,65.0,25.0,0.0,6.0,1,8.063306681711602,12.0,t,Entire home/apt,Real Bed,3,f,f,flexible,False,True,True,False,False
4,1.0,2.0,150.0,0.0,0.0,0.0,1,1.1739475844098486,86.05462201105226,t,Entire home/apt,Real Bed,14,f,f,flexible,True,False,False,False,False
2,1.0,1.0,15.0,0.0,0.0,10.0,1,7.212463884933696,15.0,t,Private room,Real Bed,2,t,f,flexible,True,True,False,True,False
2,1.0,1.0,35.0,10.0,0.0,10.0,1,0.7825077213025308,51.97947783352401,t,Private room,Real Bed,2,f,f,flexible,True,False,True,True,False
6,1.0,1.0,14.0,0.0,0.0,16.0,1,6.477878757611041,15.0,t,Shared room,Real Bed,2,f,f,strict_14_with_grace_period,False,False,False,False,False
4,1.0,1.0,65.0,30.0,250.0,10.0,1,1.9800117887742263,68.68700157672376,f,Entire home/apt,Real Bed,2,t,f,moderate,False,True,True,False,False
5,1.5,2.0,69.0,40.0,0.0,0.0,1,4.123859171583725,10.0,t,Entire home/apt,Real Bed,2,t,f,strict_14_with_grace_period,True,True,True,True,False
2,1.0,1.0,52.0,0.0,0.0,13.0,1,1.3276877981202024,57.133400517569726,t,Private room,Real Bed,3,t,f,flexible,True,True,False,False,True
2,1.0,1.0,70.0,0.0,0.0,0.0,1,4.163492621961876,10.0,t,Private room,Real Bed,2,f,f,flexible,True,False,False,True,False
